Dish Name,Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg)
Hot tea (Garam Chai),Carbohydrates (g),0.39,0.53,2.58,0,3.12,14.2,0.02,0.5,1.8
Instant coffee,Carbohydrates (g),0.64,0.75,3.62,0,4.92,20.87,0.06,1.51,5.6
Espreso coffee,Carbohydrates (g),1.75,2.14,6.53,0,13.98,58.1,0.15,1.51,5.53
Iced tea,Carbohydrates (g),0.03,0.01,2.7,0,0.23,1.18,0.02,5.95,1.28
Raw mango drink (Aam panna),Carbohydrates (g),0.16,0.03,7.49,0.61,79.82,7.08,0.14,45.3,14.05
Fruit Punch (with fresh juices),Carbohydrates (g),0.14,0.03,9.25,0.06,2.63,5.07,0.1,41.44,24.57
Fruit Punch (with squashes),Carbohydrates (g),0.07,0.02,5.88,0.17,2.26,3.3,0.06,15.08,9.13
Lemonade,Carbohydrates (g),0.03,0.01,5.47,0.02,28.52,1.84,0.05,5.27,2.11
Lem-o-gin,Carbohydrates (g),0.08,0.03,5.38,0.13,28.13,2.2,0.09,5.68,2.92
Cumin infused water (Jeere/Zeere ka pani),Carbohydrates (g),0.17,0.11,1.46,0.46,189.6,10.84,0.32,3.61,3.14
Coco pine cooler,Carbohydrates (g),0.56,1,5.52,0.26,23.2,17.81,0.13,10.67,12.64
Summer cooler,Carbohydrates (g),0.37,0.04,5.21,0.2,1.57,8.13,0.28,103.5,63.89
Hot cocoa,Carbohydrates (g),3.36,4.56,9.01,0,24.2,113.66,0.31,3.62,13.79
Cold coffee with ice cream,Carbohydrates (g),1.57,2.11,11.18,0.01,13.84,53.29,0.12,2.53,9.49
Banana milkshake (Kele milkshake),Carbohydrates (g),1.84,2.37,7.96,0.26,13.61,62.64,0.13,6.84,19.83
Mango milkshake (Aam milkshake),Carbohydrates (g),1.73,2.35,7.15,0.26,13.27,62.33,0.15,20.1,53.68
Pineapple milkshake (Ananas milkshake),Carbohydrates (g),1.66,2.23,7.6,0,14.05,59.92,0.11,10.22,17.45
Orange milkshake (Narangi milkshake),Carbohydrates (g),1.86,2.52,7.08,0,14.63,67.42,0.11,10.82,16.85
Egg nog,Carbohydrates (g),4.78,5.11,8.06,0.02,40.65,102.13,0.43,4.82,41.91
